Specimen,SciName,ComName,Tooth,ToothSide,Excav_unit,Location_Site,ContextType,TimePeriod,Chronology,C13,O18,Sr87_Sr86,SrError,SrConcentration,Comments
2a,Canis lupus familiaris,Domestic Dog,M2,left,CB 205A-1-7-16 (Run 1),"Group A, Str. A-18",Midden,Late Middle Preclassic (Escoba-Mamom 3),450-350 BCE,n/a,n/a,0.707026,0.000009,n/a,"reported in Sharpe et al. 2018; Beta-466114 date 541 - 389 cal BCE (IntCal20, 95.4%)"
2b,Canis lupus familiaris,Domestic Dog,M2,left,CB 205A-1-7-16 (Run 2),"Group A, Str. A-18",Midden,Late Middle Preclassic (Escoba-Mamom 3),450-350 BCE,-2.5,-6.3,0.707093,0.000014,n/a,reported in Sharpe et al. 2018
4,Canis lupus familiaris,Domestic Dog,M1,left,CB 205A-1-7-10,"Group A, Str. A-18",Fill (possible intrusion),Late Middle Preclassic (Escoba-Mamom 3),450-350 BCE,-3.9,-4.8,0.707599,0.000017,n/a,reported in Sharpe et al. 2018
6a,Canis lupus familiaris,Domestic Dog,M1,right,CB 203G-2-8-4 (Run 1),"Group A, Str. A-10",Fill,Late Preclassic (Cantutse-Chicanel 1),350-300 BCE,-2.7,-5.4,0.704931,0.000008,522.76,"reported in Sharpe et al. 2018; Beta-466113 date 413 - 354 cal BCE (IntCal20, 78.7%)"
6b,Canis lupus familiaris,Domestic Dog,M1,right,CB 203G-2-8-4 (Run 2),"Group A, Str. A-10",Fill,Late Preclassic (Cantutse-Chicanel 1),350-300 BCE,n/a,n/a,0.705007,0.00001,n/a,reported in Sharpe et al. 2018
7,Canis lupus familiaris,Domestic Dog,P4,right,CB 201F-4-12-10,"Group A, East Court",Fill,Early Middle Preclassic (Real-Xe 3),775-700 BCE,-9,-2.6,0.707484,0.000008,n/a,reported in Sharpe et al. 2018
9,Canis lupus familiaris,Domestic Dog,P4,left,CB 201F-2-13-3,"Group A, East Court",Fill,Early Middle Preclassic (Real-Xe 3),775-700 BCE,-9,-3.4,0.707529,0.00001,n/a,reported in Sharpe et al. 2018
11,Canis lupus familiaris,Domestic Dog,M1,right,CB 203B-11-6-9,"Group A, Central Plaza",Fill,Late Middle Preclassic (Escoba-Mamom 3),450-350 BCE,-9.2,-4.4,0.707566,0.000015,n/a,reported in Sharpe et al. 2018
13,Canis lupus familiaris,Domestic Dog,M1,left,CB 210A-3-6-4,Jul Group,Midden/intrusion into bedrock (midden over Burial #126),Late Middle Preclassic (Escoba-Mamom 2),600-450 BCE,-6.4,-2.7,0.707557,0.000018,n/a,reported in Sharpe et al. 2018
15,Canis lupus familiaris,Domestic Dog,M1,right,CB 202A-1-7-4,"Group A, Central Plaza",Fill around Cache #101,Late Preclassic (Cantutse-Chicanel 2),300-150 BCE,-2.9,-2.7,0.707575,0.000029,172.47,Sr data reported in Sharpe et al. 2018; C and O data not previously reported
17,Canis lupus familiaris,Domestic Dog,M1,left,CB 200B-1-7-3,"Group A, Str. A-24",Possible midden,Late Middle Preclassic (Escoba-Mamom 2),600-450 BCE,-4.2,-3.5,0.70756,0.00001,n/a,reported in Sharpe et al. 2018
18,Canis lupus familiaris,Domestic Dog,M1,left,CB 200B-16-8-1,"Group A, Str. A-24",Fill,Late Middle Preclassic (Escoba-Mamom 2),600-450 BCE,-2.3,-3.5,0.707535,0.000012,161.03,reported in Sharpe et al. 2018
19,Canis lupus familiaris,Domestic Dog,M1,right,CB 201B-7-8-3,"Group A, East Court",Fill,Late Middle Preclassic (Escoba-Mamom 3),450-350 BCE,-8.5,-3.5,0.707486,0.000007,324.52,reported in Sharpe et al. 2018
20,Canis lupus familiaris,Domestic Dog,M1,right,CB 201C-22-14-2,"Group A, Str. A-14",Fill,Late Middle Preclassic (Escoba-Mamom 2),600-450 BCE,-8.9,-2.3,0.707562,0.000012,n/a,reported in Sharpe et al. 2018
21,Canis lupus familiaris,Domestic Dog,M1,right,CB 201C-22-14-4,"Group A, Str. A-14",Fill,Late Middle Preclassic (Escoba-Mamom 2),600-450 BCE,-4.8,-3.1,0.707579,0.000013,n/a,reported in Sharpe et al. 2018
22,Canis lupus familiaris,Domestic Dog,M1,right,CB 201D-2-6-1,"Group A, East Court",Fill,Late Preclassic (Cantutse-Chicanel),350-50 BCE,-2.4,-3.6,0.707513,0.000007,2121.1,"reported in Sharpe et al. 2018; Sr concentration very high, suggests contamination"
23,Canis lupus familiaris,Domestic Dog,M1,left,CB 203B-4-7-2 (#2),"Group A, Central Plaza",Fill,Late Middle Preclassic (Escoba-Mamom 1),700-600 BCE,-3.5,-4.1,0.707582,0.00001,n/a,reported in Sharpe et al. 2018; this tooth is a different individual than #3
24,Canis lupus familiaris,Domestic Dog,M1,left,CB 203B-4-7-2 (#3),"Group A, Central Plaza",Fill,Late Middle Preclassic (Escoba-Mamom 1),700-600 BCE,-6,-2.4,0.707557,0.000009,n/a,reported in Sharpe et al. 2018; this tooth is a different individual than #2
25,Canis lupus familiaris,Domestic Dog,CL,right,CB 203B-14-8-4,"Group A, Central Plaza",Fill,Early Middle Preclassic (Real-Xe 3),775-700 BCE,-8.9,-3.5,0.707516,0.000009,n/a,reported in Sharpe et al. 2018
26,Canis lupus familiaris,Domestic Dog,M1,right,CB 203B-19-8-6,"Group A, Central Plaza",Fill,Early Middle Preclassic (Real-Xe 2),850-775 BCE,-7.7,-4.3,0.707517,0.000009,n/a,reported in Sharpe et al. 2018
28,Canis lupus familiaris,Domestic Dog,P4,right,CB 205A-3-4-6,"Group A, Str. A-18",Fill,Late Classic (Tepejilote-Tepeu),600-810 CE,-3.2,-2.6,0.707767,0.000012,n/a,reported in Sharpe et al. 2018
29,Canis lupus familiaris,Domestic Dog,P4,left,CB 207A-3-5-3,"Group A, Str. A-2",Fill,Terminal Preclassic (Xate-Chicanel 3),150-250 CE,-4.2,-3.7,0.707538,0.000016,n/a,reported in Sharpe et al. 2018
30,Canis lupus familiaris,Domestic Dog,I3,right,CB 211B-2-6-3,"Karinel Group, North of Str. 46",Fill,Late Middle Preclassic (Escoba-Mamom 3),450-350 BCE,-2,-3.6,0.707579,0.000012,n/a,reported in Sharpe et al. 2018
31,Canis lupus familiaris,Domestic Dog,P4,left,CB 200A-1-20-1 (#6),"Group A, Str. A-24",Midden,Early Middle Preclassic (Real-Xe 2),850-775 BCE,-5,-2.8,0.70759,0.000014,n/a,reported in Sharpe et al. 2018; this tooth is a different individual than #9
32,Canis lupus familiaris,Domestic Dog,P4,left,CB 200A-1-20-1 (#9),"Group A, Str. A-24",Midden,Early Middle Preclassic (Real-Xe 2),850-775 BCE,-5.9,-4.7,0.70775,0.000011,n/a,reported in Sharpe et al. 2018; this tooth is a different individual than #6
35,Felidae (Panthera onca?),Large Feline (Jaguar?),M1,left,CB 205A-1-7-13,"Group A, Str. A-18",Fill,Late Middle Preclassic (Escoba-Mamom 3),450-350 BCE,-8.4,-3.4,0.707548,0.000016,272.53,"reported in Sharpe et al. 2018; Beta-466112 date 481 - 358 cal BCE (IntCal20, 91.4%)"
37,Leopardis wiedii,Margay,M1,right,CB 201G-1-4-2,"Group A, East Court",Fill,Terminal Classic (Bayal),810-950 CE,-15.1,-2.9,0.707494,0.000013,n/a,reported in Sharpe et al. 2018
53,Odocoileus virginianus,White-tailed Deer,M3,left,CB 207A-1-4-7,"Group A, Str. A-2",Burial #121,Early Classic (Junco-Tzakol 4),500-600 CE,-13.7,-1.6,0.707529,0.000015,n/a,reported in Sharpe et al. 2018
54,Odocoileus virginianus,White-tailed Deer,M3,left,CB 207A-4-5-1,"Group A, Str. A-2",Midden/fill,Early Classic (Junco-Tzakol 3),400-500 CE,-12.8,-1.5,0.707582,0.000012,67.25,reported in Sharpe et al. 2018
55,Odocoileus virginianus,White-tailed Deer,M2,left,CB 208A-1-4-5,"Group D, East Plaza",Fill,Terminal Classic (Bayal),810-950 CE,-13.9,-2.8,0.707354,0.000012,128.15,reported in Sharpe et al. 2018
