BurialNum,Tooth,Excav_unit,TimePeriod,Conv.Radiocarbon.Date,C13,Comments
AN1,M3,AN 1A-1-11-3 and AN 1A-2-5-3,Terminal Preclassic,1867 ± 16,-3.6,used tooth root 14C date
AN5,M3,AN 1D-1-8-2,Late Classic,1292 ± 45,-1.3,
CB107,M3,CB 201B-8-6-4,Terminal Preclassic,1807 ± 16,-4.8,used tooth root 14C date
CB108A,M3,CB 201B-14-4-4,Late Classic,1223 ± 16,-2.5,
CB112,M3,CB 203C-3-5-2,Late Middle Preclassic,2312 ± 16,-7.4,used tooth root 14C date
CB115,M3,CB 203D-5-6-2,Late Middle Preclassic,2395 ± 20,-7.3,14C date on edge of Escoba-Mamom 2 phase
CB116,M3,CB 201F-2-5-4,Late Preclassic,2238 ± 16,-8.6,
CB121,M3,CB 207A-1-4-9,Late Classic,1303 ± 15,-1.2,used tooth root 14C date
CB126,M3,CB 210A-3-6-7,Late Middle Preclassic,2474 ± 19,-7.6,
CB132A,M3,CB 211B-1-7-1 and CB 211B-1-7-2,Late Middle Preclassic,2518 ± 17,-6.2,used tooth root 14C date
CB132C,M3,CB 211B-1-7-1 and CB 211B-1-7-2,Late Middle Preclassic,2469 ± 19,-10.1,
CB136,M3,CB 203B-16-9-1,Late Middle Preclassic,2547 ± 19,-7.9,
CB139,M3,CB 209A-8-4-1,Late Classic,1294 ± 19,-2.7,
CB140,M3,CB 203J-2-8-3,Late Preclassic,2253 ± 17,-9.1,14C date on edge of Cantutse-Chicanel 2 phase
CB143,M3,CB 215B-2-4-3,Late Classic,1220 ± 13,-3.5,used tooth root 14C date
CB151,M3,CB 218C-2-4-3,Late Classic,1295 ± 19,-2.9,
CB159,M3,CB 211C-4-4-7,Late Classic,1235 ± 19,-1.8,
CB162,M3,CB 215A-1-6-5,Early Middle Preclassic,2911 ± 21,-7.6,
CB166,M3,CB211C-9-5-3,Late Classic,1176 ± 18,-1.7,
CB169,M3,CB203K-9-7-6,Late Preclassic,2113 ± 18,-1.9,
CB174,M3,CB215A-1-6-10,Early Middle Preclassic,2833 ± 18,-4.8,
